SKETELON	left	top	right	bottom	pX	pY
sketelon1		5	5	86	26	43	26
sketelon2		99	5	80	25	43	25
sketelon3		5	39	75	45	43	45
sketelon4		88	39	62	60	43	60
sketelon5		158	39	50	67	43	67
sketelon6		5	114	48	71	43	71
sketelon7		61	114	48	75	43	75
sketelon8		117	114	51	81	43	81
sketelon9		176	114	51	81	43	81
sketelon10	5	203	52	80	43	81
sketelon11	65	203	68	81	60	81
sketelon12	141	203	65	89	58	89
sketelon13	5 	300 	50 	82	42	82
sketelon14	63 	300 	49 	81	42	81
sketelon15	120 	300 	61 	84	64	84
sketelon16	5 	392 	64 	75	67	75
sketelon17	77 	392 	74 	85	75	85
sketelon18	159 	392 	81 	91	75	91
sketelon19	5 	491 	95 	77	75	77
sketelon20	108 	491 	60 	79	65	79
