ITEMS - SCENE1
a 550 542
a 474 542
a 511 517
a 852 540
a 887 520
a 920 542
a 1022 545
a 1059 523
a 1090 545
a 1521 475
a 1555 496
a 1572 526
a 1652 563
a 1687 537
a 1719 559
a 1749 538
a 1780 564
a 2034 478
a 2002 510
a 2001 546
a 2112 474
a 2137 504
a 2137 542
a 1764 366
a 1567 381
a 1493 303
a 1493 273
a 1494 240
a 1510 195
a 1781 187
a 1812 171
a 1839 188
a 1985 195
a 2019 171
a 2051 199
a 2288 198
a 2309 197
a 2353 233
a 2354 273
a 2352 311
a 2353 332
a 2352 361
a 2257 528
a 2271 514
a 2283 532
a 2408 573
a 2535 587
a 2436 501
a 2887 482
a 2888 526
a 2889 578
a 3106 576
a 3135 558
a 3164 578
a 3331 579
a 3357 560
a 3380 578
a 3505 579
a 3537 562
a 3559 578
a 3846 573
a 3877 552
a 3908 577
a 4100 575
a 4132 558
a 4157 577
a 4650 408
a 4570 355
a 4518 334
a 4466 353
a 4223 434
a 4116 431
a 3939 369
a 3906 384
a 3857 418
a 3879 397
a 3534 407
a 3504 387
a 3483 404
a 3427 414
a 3399 389
a 3362 417
a 2865 344
a 2901 322
a 2933 342
a 2645 210
a 2852 230
a 2869 213
a 2886 230
a 3299 120
a 3314 99
a 3339 82
a 3619 174
a 4295 21
a 4316 6
a 4316 30
a 4334 17
A 3299 161
e 2384 643
e 3234 382
S 2340 641
S 2658 629
S 2695 630
S 2644 242
S 2644 277
r 2707 502
r 3505 467
r 3667 192
g 1632 392
g 2267 631
g 4163 374
g 2537 89
g 3128 223
m 2008 430
m 2470 527
m 3065 413
